,,,,,,,,,,,,,,,,,,,,,,
cal,Motor rate,Cable type,Starter type,L Cable,L size,unit,L type,G Cable,G size,unit2,G type,in,size,type,,,,,,,,
0.55|XLPE MC|DOL,0.55,XLPE MC,DOL,1x3C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1""",IMC,,,,,,,,
0.55|PVC SC|YD,0.55,PVC SC,YD,6x1C,2.5,Sq.mm.,IEC01,/G-1x1C,2.5,Sq.mm.,IEC01,in,"3/4""",IMC,,,,,,,,
0.55|PVC MC|YD,0.55,PVC MC,YD,2x3C,2.5,Sq.mm.,IEC10,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
0.55|XLPE SC|YD,0.55,XLPE SC,YD,6x1C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
0.55|XLPE MC|YD,0.55,XLPE MC,YD,2x3C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
1.1|PVC SC|DOL,1.1,PVC SC,DOL,3x1C,2.5,Sq.mm.,IEC01,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1/2""",IMC,,,,,,,,
1.1|PVC MC|DOL,1.1,PVC MC,DOL,1x3C,2.5,Sq.mm.,IEC10,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1""",IMC,,,,,,,,
1.1|XLPE SC|DOL,1.1,XLPE SC,DOL,3x1C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"3/4""",IMC,,,,,,,,
1.1|XLPE MC|DOL,1.1,XLPE MC,DOL,1x3C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1""",IMC,,,,,,,,
1.1|PVC SC|YD,1.1,PVC SC,YD,6x1C,2.5,Sq.mm.,IEC01,/G-1x1C,2.5,Sq.mm.,IEC01,in,"3/4""",IMC,,,,,,,,
1.1|PVC MC|YD,1.1,PVC MC,YD,2x3C,2.5,Sq.mm.,IEC10,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
1.1|XLPE SC|YD,1.1,XLPE SC,YD,6x1C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
1.1|XLPE MC|YD,1.1,XLPE MC,YD,2x3C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
1.5|PVC SC|DOL,1.5,PVC SC,DOL,3x1C,2.5,Sq.mm.,IEC01,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1/2""",IMC,,,,,,,,
1.5|PVC MC|DOL,1.5,PVC MC,DOL,1x3C,2.5,Sq.mm.,IEC10,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1""",IMC,,,,,,,,
1.5|XLPE SC|DOL,1.5,XLPE SC,DOL,3x1C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"3/4""",IMC,,,,,,,,
1.5|XLPE MC|DOL,1.5,XLPE MC,DOL,1x3C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1""",IMC,,,,,,,,
1.5|PVC SC|YD,1.5,PVC SC,YD,6x1C,2.5,Sq.mm.,IEC01,/G-1x1C,2.5,Sq.mm.,IEC01,in,"3/4""",IMC,,,,,,,,
1.5|PVC MC|YD,1.5,PVC MC,YD,2x3C,2.5,Sq.mm.,IEC10,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
1.5|XLPE SC|YD,1.5,XLPE SC,YD,6x1C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
1.5|XLPE MC|YD,1.5,XLPE MC,YD,2x3C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
2.2|PVC SC|DOL,2.2,PVC SC,DOL,3x1C,2.5,Sq.mm.,IEC01,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1/2""",IMC,,,,,,,,
2.2|PVC MC|DOL,2.2,PVC MC,DOL,1x3C,2.5,Sq.mm.,IEC10,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1""",IMC,,,,,,,,
2.2|XLPE SC|DOL,2.2,XLPE SC,DOL,3x1C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"3/4""",IMC,,,,,,,,
2.2|XLPE MC|DOL,2.2,XLPE MC,DOL,1x3C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1""",IMC,,,,,,,,
2.2|PVC SC|YD,2.2,PVC SC,YD,6x1C,2.5,Sq.mm.,IEC01,/G-1x1C,2.5,Sq.mm.,IEC01,in,"3/4""",IMC,,,,,,,,
2.2|PVC MC|YD,2.2,PVC MC,YD,2x3C,2.5,Sq.mm.,IEC10,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
2.2|XLPE SC|YD,2.2,XLPE SC,YD,6x1C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
2.2|XLPE MC|YD,2.2,XLPE MC,YD,2x3C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
3|PVC SC|DOL,3,PVC SC,DOL,3x1C,2.5,Sq.mm.,IEC01,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1/2""",IMC,,,,,,,,
3|PVC MC|DOL,3,PVC MC,DOL,1x3C,2.5,Sq.mm.,IEC10,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1""",IMC,,,,,,,,
3|XLPE SC|DOL,3,XLPE SC,DOL,3x1C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"3/4""",IMC,,,,,,,,
3|XLPE MC|DOL,3,XLPE MC,DOL,1x3C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1""",IMC,,,,,,,,
3|PVC SC|YD,3,PVC SC,YD,6x1C,2.5,Sq.mm.,IEC01,/G-1x1C,2.5,Sq.mm.,IEC01,in,"3/4""",IMC,,,,,,,,
3|PVC MC|YD,3,PVC MC,YD,2x3C,2.5,Sq.mm.,IEC10,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
3|XLPE SC|YD,3,XLPE SC,YD,6x1C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
3|XLPE MC|YD,3,XLPE MC,YD,2x3C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
4|PVC SC|DOL,4,PVC SC,DOL,3x1C,2.5,Sq.mm.,IEC01,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1/2""",IMC,,,,,,,,
4|PVC MC|DOL,4,PVC MC,DOL,1x3C,2.5,Sq.mm.,IEC10,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1""",IMC,,,,,,,,
4|XLPE SC|DOL,4,XLPE SC,DOL,3x1C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"3/4""",IMC,,,,,,,,
4|XLPE MC|DOL,4,XLPE MC,DOL,1x3C,2.5,Sq.mm.,CV-FD,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1""",IMC,,,,,,,,
4|PVC SC|YD,4,PVC SC,YD,6x1C,2.5,Sq.mm.,IEC01,/G-1x1C,2.5,Sq.mm.,IEC01,in,"3/4""",IMC,,,,,,,,
4|PVC MC|YD,4,PVC MC,YD,2x3C,2.5,Sq.mm.,IEC10,/G-1x1C,2.5,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
